treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "ST_WandNormal"
new subtable "1,1"
object category "WandFire",1,1,0,0,0,0,0,0
object category "WandWater",1,1,0,0,0,0,0,0
object category "WandAir",1,1,0,0,0,0,0,0
object category "WandPoison",1,1,0,0,0,0,0,0
new treasuretable "ST_StaffNormal"
new subtable "1,1"
object category "StaffFire",1,1,0,0,0,0,0,0
object category "StaffWater",1,1,0,0,0,0,0,0
object category "StaffAir",1,1,0,0,0,0,0,0
object category "StaffPoison",1,1,0,0,0,0,0,0
new treasuretable "ST_TwoHandedNormal"
new subtable "1,1"
object category "TwoHandedAxe",1,1,0,0,0,0,0,0
object category "TwoHandedSword",1,1,0,0,0,0,0,0
object category "TwoHandedMace",1,1,0,0,0,0,0,0
object category "Spear",1,1,0,0,0,0,0,0
new treasuretable "ST_OneHandedNormal"
new subtable "1,1"
object category "Sword",1,1,0,0,0,0,0,0
object category "Axe",1,1,0,0,0,0,0,0
object category "Club",1,1,0,0,0,0,0,0
new treasuretable "ST_RangedNormal"
new subtable "1,1"
object category "Bow",1,1,0,0,0,0,0,0
object category "Crossbow",1,1,0,0,0,0,0,0
new treasuretable "ST_WeaponNormal"
new subtable "1,1"
object category "T_ST_OneHandedNormal",1,1,0,0,0,0,0,0
object category "Shield",1,1,0,0,0,0,0,0
object category "Dagger",1,1,0,0,0,0,0,0
object category "T_ST_WandNormal",1,1,0,0,0,0,0,0
object category "T_ST_TwoHandedNormal",1,1,0,0,0,0,0,0
object category "T_ST_StaffNormal",1,1,0,0,0,0,0,0
object category "T_ST_RangedNormal",1,1,0,0,0,0,0,0
new treasuretable "ST_WeaponMagic"
new subtable "1,1"
object category "T_ST_WeaponNormal",1,0,1,0,0,0,0,0
new treasuretable "ST_WeaponRare"
new subtable "1,1"
object category "T_ST_WeaponNormal",1,0,0,1,0,0,0,0
new treasuretable "ST_WeaponLegendary"
new subtable "1,1"
